t,theta,theta_prime,Re_zeta,Im_zeta
549.4882402,953.2744858,2.235555084,0.007799717853,-0.03869885209
549.7367299,953.8300262,2.235781143,0.3403273038,0.9134105294
549.9852195,954.3856228,2.236007100,1.362144660,1.053992722
550.2337092,954.9412755,2.236232955,1.973308573,0.2037556678
550.4821989,955.4969843,2.236458708,1.516083975,-0.7376277323
550.7306885,956.0527492,2.236684359,0.4956027896,-0.7866238761
550.9791782,956.6085702,2.236909908,-0.0002276173550,0.03560452329
551.2276679,957.1644472,2.237135355,0.4618447055,0.7541606082
551.4761575,957.7203802,2.237360701,1.173239848,0.5891615312
551.7246472,958.2763692,2.237585945,1.129953737,-0.1026660446
551.9731369,958.8324141,2.237811088,0.2737052029,-0.2066308213
552.2216265,959.3885150,2.238036130,-0.3158582761,0.8191116748
552.4701162,959.9446718,2.238261070,0.4111133622,2.159583036
552.7186058,960.5008845,2.238485910,2.190566182,2.378312597
552.9670955,961.0571530,2.238710648,3.518728358,0.9745904931
553.2155852,961.6134774,2.238935285,3.136299049,-0.9226929109
553.4640748,962.1698576,2.239159821,1.404207376,-1.574498722
553.7125645,962.7262935,2.239384257,0.06809611138,-0.3923335474
553.9610542,963.2827852,2.239608591,0.5609455203,1.385737094
554.2095438,963.8393327,2.239832826,2.548708898,1.856786876
554.4580335,964.3959358,2.240056959,4.213761410,0.3081894743
554.7065232,964.9525947,2.240280992,3.995975645,-2.098922225
554.9550128,965.5093092,2.240504925,2.036019079,-3.471489846
555.2035025,966.0660793,2.240728758,-0.07776021340,-2.951677381
555.4519921,966.6229050,2.240952491,-0.8918293935,-1.351870994
555.7004818,967.1797864,2.241176123,-0.3414835532,-0.1569220188
555.9489715,967.7367232,2.241399655,0.4941027703,-0.06268186000
556.1974611,968.2937156,2.241623088,0.6715284361,-0.5465782728
556.4459508,968.8507636,2.241846421,0.2474263261,-0.7210191082
556.6944405,969.4078670,2.242069654,-0.08233695223,-0.3572263522
556.9429301,969.9650258,2.242292787,0.04750468118,0.04766704267
557.1914198,970.5222401,2.242515821,0.2926291243,0.06848316879
557.4399095,971.0795098,2.242738756,0.1803714598,-0.06125413510
557.6883991,971.6368349,2.242961591,-0.1663735832,0.2031954102
557.9368888,972.1942153,2.243184327,-0.1178340110,0.9104322250
558.1853784,972.7516511,2.243406963,0.6421460678,1.404892144
558.4338681,973.3091422,2.243629501,1.587121841,1.050253615
558.6823578,973.8666886,2.243851939,1.831811407,0.04953329195
558.9308474,974.4242902,2.244074279,1.133291314,-0.6648790655
559.1793371,974.9819471,2.244296520,0.2272909176,-0.4338572377
559.4278268,975.5396592,2.244518662,0.02779197225,0.3691715695
559.6763164,976.0974265,2.244740705,0.5597013374,0.7629751554
559.9248061,976.6552489,2.244962650,0.8977896112,0.3586576659
560.1732957,977.2131265,2.245184497,0.2933840165,-0.05272380014
560.4217854,977.7710592,2.245406245,-0.7435649792,0.6731606690
560.6702751,978.3290470,2.245627894,-0.7360469120,2.588261327
560.9187647,978.8870898,2.245849446,1.216976258,4.216626255
561.1672544,979.4451877,2.246070899,4.231154127,3.799661875
561.4157441,980.0033406,2.246292255,6.159736591,1.079995909
561.6642337,980.5615485,2.246513512,5.494846003,-2.224333777
561.9127234,981.1198114,2.246734672,2.798773867,-3.855631999
562.1612131,981.6781292,2.246955733,0.2099147161,-3.012227400
562.4097027,982.2365019,2.247176697,-0.5082481052,-0.9556324728
562.6581924,982.7949295,2.247397564,0.5473939053,0.3160177690
562.9066820,983.3534120,2.247618333,1.792853061,-0.06261656815
563.1551717,983.9119494,2.247839004,1.859824636,-1.254567306
563.4036614,984.4705415,2.248059578,0.8234083356,-1.850021087
563.6521510,985.0291885,2.248280055,-0.1899950871,-1.349288135
563.9006407,985.5878902,2.248500435,-0.3754907124,-0.4470730974
564.1491304,986.1466467,2.248720717,-0.01623511044,-0.005262316513
564.3976200,986.7054579,2.248940903,0.1043704657,-0.02613543169
564.6461097,987.2643239,2.249160992,-0.1914975888,0.1988496611
564.8945994,987.8232445,2.249380983,-0.2178679832,1.034109214
565.1430890,988.3822197,2.249600879,0.6839427449,1.865960249
565.3915787,988.9412496,2.249820677,2.184942099,1.697272325
565.6400683,989.5003341,2.250040379,3.121168101,0.3174237015
565.8885580,990.0594731,2.250259984,2.660849467,-1.310989510
566.1370477,990.6186667,2.250479493,1.202675393,-1.944920939
566.3855373,991.1779149,2.250698906,-0.006982900320,-1.285336196
566.6340270,991.7372176,2.250918222,-0.1296362474,-0.2046136800
566.8825167,992.2965747,2.251137442,0.5037453002,0.2412920844
567.1310063,992.8559863,2.251356566,0.9127706265,-0.1033141986
567.3794960,993.4154524,2.251575595,0.6157703110,-0.4900291336
567.6279857,993.9749728,2.251794527,0.09114581045,-0.2584033754
567.8764753,994.5345477,2.252013363,0.08463817579,0.3776535103
568.1249650,995.0941769,2.252232104,0.6463928078,0.6532760592
568.3734546,995.6538605,2.252450749,1.066459353,0.2508416185
568.6219443,996.2135984,2.252669298,0.7770016636,-0.2650378565
568.8704340,996.7733905,2.252887752,0.1069884067,-0.1316886900
569.1189236,997.3332370,2.253106111,-0.07676874476,0.6239032027
569.3674133,997.8931377,2.253324374,0.5317571443,1.136977393
569.6159030,998.4530926,2.253542542,1.176752372,0.7598703435
569.8643926,999.0131017,2.253760615,0.8663769952,0.01157730385
570.1128823,999.5731650,2.253978593,-0.3109027865,0.1892078341
570.3613719,1000.133282,2.254196476,-0.9412889401,1.881025494
570.6098616,1000.693454,2.254414264,0.3842653290,3.982365830
570.8583513,1001.253680,2.254631957,3.436234700,4.460419318
571.1068409,1001.813960,2.254849555,6.196158706,2.290585561
571.3553306,1002.374293,2.255067059,6.544605324,-1.369206740
571.6038203,1002.934681,2.255284468,4.208805365,-4.053672259
571.8523099,1003.495123,2.255501782,1.030776577,-4.145102168
572.1007996,1004.055619,2.255719003,-0.7267287444,-2.216959319
572.3492893,1004.616169,2.255936128,-0.3557875416,-0.2957320351
572.5977789,1005.176773,2.256153160,0.9423011576,0.1259518673
572.8462686,1005.737430,2.256370098,1.512943394,-0.6898086986
573.0947582,1006.298142,2.256586941,0.8965751344,-1.361612270
573.3432479,1006.858907,2.256803690,0.02169972792,-1.007347512
573.5917376,1007.419727,2.257020346,-0.04501483610,-0.07521867159
573.8402272,1007.980600,2.257236907,0.7072724589,0.3598417105
574.0887169,1008.541527,2.257453375,1.354022982,-0.1225811235
574.3372066,1009.102507,2.257669749,1.170150903,-0.8918930003
574.5856962,1009.663542,2.257886030,0.4062491520,-1.084236120
574.8341859,1010.224630,2.258102217,-0.1191610085,-0.5801130955
575.0826756,1010.785772,2.258318311,-0.01511954044,-0.01578926156
575.3311652,1011.346968,2.258534311,0.3130731842,0.07856380113
575.5796549,1011.908217,2.258750218,0.2958711756,-0.09653463765
575.8281445,1012.469520,2.258966032,-0.02519432149,0.03027177613
576.0766342,1013.030876,2.259181753,-0.07512365971,0.5625559027
576.3251239,1013.592286,2.259397380,0.4242947784,0.9284453727
576.5736135,1014.153750,2.259612915,0.9548376434,0.6265038516
576.8221032,1014.715267,2.259828357,0.7607666106,0.01457792737
577.0705929,1015.276838,2.260043706,-0.1194476766,0.07199249983
577.3190825,1015.838462,2.260258962,-0.6315135755,1.253256761
577.5675722,1016.400140,2.260474126,0.2595407356,2.726192356
577.8160619,1016.961871,2.260689197,2.318434554,3.008034208
578.0645515,1017.523656,2.260904176,4.019681759,1.478076219
578.3130412,1018.085494,2.261119062,3.948915620,-0.8395105191
578.5615308,1018.647385,2.261333856,2.223139889,-2.161606021
578.8100205,1019.209330,2.261548558,0.4016001520,-1.659135326
579.0585102,1019.771328,2.261763168,-0.07078666960,-0.2104213238
579.3069998,1020.333380,2.261977685,0.7417868588,0.6050654458
579.5554895,1020.895484,2.262192111,1.504506880,0.1846616945
579.8039792,1021.457642,2.262406445,1.186774862,-0.5587537129
580.0524688,1022.019853,2.262620686,0.2250410220,-0.3522142616
580.3009585,1022.582118,2.262834836,-0.005650792733,0.8982482598
580.5494481,1023.144436,2.263048895,1.188780879,1.912981278
580.7979378,1023.706806,2.263262861,2.925327644,1.421758511
581.0464275,1024.269230,2.263476737,3.590847287,-0.3966862766
581.2949171,1024.831708,2.263690520,2.528096372,-2.013212912
581.5434068,1025.394238,2.263904213,0.7312491456,-2.095405091
581.7918965,1025.956821,2.264117814,-0.1931743668,-0.8370090477
582.0403861,1026.519458,2.264331324,0.3395138783,0.3367695079
582.2888758,1027.082147,2.264544743,1.409666080,0.3132321689
582.5373655,1027.644889,2.264758070,1.707035458,-0.6117115872
582.7858551,1028.207685,2.264971307,0.9519339258,-1.216703545
583.0343448,1028.770533,2.265184453,0.07923641753,-0.7813769520
583.2828344,1029.333435,2.265397508,0.08147745066,0.1636936740
583.5313241,1029.896389,2.265610472,0.8836138605,0.5368986310
583.7798138,1030.459396,2.265823346,1.499713155,-0.02550651565
584.0283034,1031.022456,2.266036129,1.213495456,-0.7951585421
584.2767931,1031.585569,2.266248821,0.3850476349,-0.8448839474
584.5252828,1032.148735,2.266461423,-0.01692014187,-0.1240617263
584.7737724,1032.711954,2.266673935,0.4409533861,0.5248300749
585.0222621,1033.275225,2.266886357,1.183479948,0.3774807151
585.2707518,1033.838550,2.267098688,1.338574030,-0.3483128740
585.5192414,1034.401927,2.267310929,0.7512075765,-0.8017674943
585.7677311,1034.965356,2.267523080,0.1002916629,-0.5231105816
586.0162207,1035.528839,2.267735141,0.02528908003,0.06442413705
586.2647104,1036.092374,2.267947112,0.3595798878,0.2639425843
586.5132001,1036.655961,2.268158993,0.4158483779,0.02899583385
586.7616897,1037.219602,2.268370785,-0.04272487766,0.02301037416
587.0101794,1037.783295,2.268582487,-0.3956620415,0.7022684220
587.2586691,1038.347040,2.268794099,0.07958769636,1.569412311
587.5071587,1038.910839,2.269005622,1.154576249,1.636331758
587.7556484,1039.474689,2.269217055,1.669599704,0.6911405234
