tau,Re_zeta,Re_zeta_st
206.9631314,1.575471854,3.281052362
207.3781573,1.751383464,2.218463258
207.7933571,1.366005338,1.392662889
208.2087306,0.6675313226,1.055780463
208.6242776,0.1077776404,1.362657530
209.0399977,0.03975659125,2.237674191
209.4558909,0.4767082878,3.338327528
209.8719568,1.078678129,4.183950030
210.2881951,1.383205780,4.416815194
210.7046057,1.131249455,4.051511856
211.1211883,0.4688187966,3.535948801
211.5379427,-0.1205489004,3.543130698
211.9548686,-0.1223024867,4.587035828
212.3719659,0.6560046471,6.684969168
212.7892342,1.918491847,9.275156659
213.2066733,3.023499149,11.45069938
213.6242830,3.360423498,12.38991348
214.0420630,2.730892762,11.75715082
214.4600132,1.492158779,9.865713961
214.8781333,0.3635448489,7.516598150
215.2964231,0.006543714024,5.594177699
215.7148822,0.6327797568,4.633427809
216.1335106,1.879258094,4.595530065
216.5523080,3.025458342,4.970064842
216.9712740,3.416093671,5.124005113
217.3904086,2.830028229,4.671607941
217.8097115,1.576580291,3.648400132
218.2291825,0.2763298109,2.422144655
218.6488212,-0.5201794860,1.443699485
219.0686276,-0.6311820899,1.012192338
219.4886013,-0.2835311261,1.177840727
219.9087422,0.1051696479,1.797053021
220.3290500,0.2343382770,2.666634887
220.7495245,0.1038727865,3.634854169
221.1701655,-0.04104839252,4.618193469
221.5909728,0.05509439976,5.527461874
222.0119461,0.4279867803,6.186353062
222.4330852,0.8441938894,6.347858831
222.8543899,0.9738821418,5.841085325
223.2758599,0.6607668564,4.756030840
223.6974952,0.08584870407,3.506644967
224.1192953,-0.3113626755,2.679439925
224.5412602,-0.1204928293,2.733085595
224.9633895,0.7326898896,3.733125255
225.3856831,1.879784106,5.289920668
