tau,Re_zeta,Re_zeta_st
33.93498553,0.9085947816,10.89109848
34.20919612,1.394365456,12.35518634
34.48394618,1.714152353,13.21163408
34.75923340,1.777198808,13.36979355
35.03505544,1.571640655,12.85893881
35.31141003,1.164586078,11.81286126
35.58829488,0.6784459363,10.43274855
35.86570775,0.2509284497,8.938314161
36.14364640,-0.008824561119,7.520610638
36.42210861,-0.05417530104,6.309549543
36.70109219,0.08583371407,5.364325600
36.98059496,0.3184926958,4.686960508
37.26061475,0.5210903340,4.250917428
37.54114943,0.5856269885,4.031552142
37.82219687,0.4600587185,4.025328045
38.10375496,0.1721540466,4.250213549
38.38582162,-0.1728657844,4.728108268
38.66839476,-0.4215957945,5.457849765
38.95147234,-0.4206039569,6.391158887
39.23505231,-0.06891958075,7.422533588
39.51913265,0.6418762797,8.398647399
39.80371135,1.613616190,9.145812229
40.08878642,2.659658196,9.508201896
40.37435589,3.551389180,9.386433937
40.66041779,4.080277123,8.766036778
40.94697019,4.117219580,7.727672214
41.23401115,3.651063961,6.434986506
41.52153877,2.794004297,5.101091669
41.80955113,1.751433802,3.940353673
42.09804636,0.7647439583,3.117246529
42.38702259,0.04406799445,2.706690177
42.67647796,-0.2887061118,2.678672121
42.96641063,-0.2293678692,2.913406763
43.25681878,0.1154549533,3.243340135
43.54770059,0.5686809777,3.508553078
43.83905427,0.9433175073,3.606764210
44.13087802,1.103375291,3.520893174
44.42317008,1.005394182,3.315631980
44.71592869,0.7073410720,3.106181501
45.00915210,0.3425825993,3.012268485
45.30283858,0.06839352568,3.114773637
45.59698642,0.007088868448,3.429615171
45.89159389,0.2003940747,3.905870551
46.18665932,0.5931367934,4.446144037
46.48218101,1.052194906,4.940306976
46.77815731,1.414273819,5.300701986
47.07458654,1.545765039,5.487657484
47.37146707,1.393310872,5.517682437
47.66879726,1.006531056,5.451931603
47.96657550,0.5238571151,5.368573550
48.26480016,0.1254043607,5.328432284
48.56346966,-0.03120733105,5.346902652
48.86258240,0.1305159171,5.384545216
49.16213682,0.5742966328,5.362808353
49.46213133,1.158985797,5.201226966
49.76256441,1.684863933,4.862081580
50.06343449,1.963378255,4.382928283
50.36474005,1.886337386,3.880209078
50.66647956,1.469775291,3.518109327
50.96865152,0.8556867489,3.451539576
51.27125443,0.2691093962,3.763981962
51.57428679,-0.05626774770,4.424495977
51.87774714,0.04081470797,5.281848249
52.18163399,0.5894410958,6.100405321
52.48594588,1.469592214,6.627699403
52.79068138,2.445209205,6.672885162
53.09583904,3.237210858,6.171740970
53.40141743,3.612333373,5.217660775
53.70741513,3.457766973,4.047509840
54.01383074,2.816131645,2.983785176
54.32066284,1.868928338,2.347470704
54.62791005,0.8745108386,2.366140421
54.93557098,0.08249170124,3.105747195
55.24364427,-0.3454007607,4.449421930
55.55212854,-0.3806484395,6.132435775
55.86102245,-0.1245975159,7.823177149
56.17032465,0.2405661586,9.222811601
56.48003380,0.5268887536,10.14878742
56.79014857,0.6128801787,10.57347626
57.10066764,0.4856344718,10.60686189
57.41158970,0.2374986239,10.43379134
57.72291345,0.01973058297,10.23265916
58.03463759,-0.02753994205,10.10712583
58.34676083,0.1597095971,10.05481102
58.65928191,0.5364681243,9.981296437
58.97219955,0.9623152796,9.750984670
59.28551248,1.257536687,9.254179490
59.59921945,1.280201000,8.465199006
59.91331923,0.9932223997,7.469762130
60.22781056,0.4930110790,6.449974559
60.54269222,-0.01466401039,5.629524036
60.85796299,-0.2856076108,5.196428665
61.17362165,-0.1299910847,5.230884235
61.48966700,0.5079424879,5.666575485
61.80609783,1.515006271,6.303141308
62.12291296,2.635074570,6.868193283
62.44011119,3.549430736,7.107089373
62.75769135,3.983970567,6.866803515
63.07565227,3.804603390,6.142594261
